2019-02-22 10:18:30,489  INFO AWT-EventQueue-0:3407 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=11,y=7]
2019-02-22 10:18:30,499  INFO AWT-EventQueue-0:3417 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 464, 395
2019-02-22 10:18:30,499  INFO AWT-EventQueue-0:3417 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 10, 7
2019-02-22 10:18:30,500  INFO AWT-EventQueue-0:3418 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=10,y=7]
2019-02-22 10:18:30,500  INFO AWT-EventQueue-0:3418 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 438, 366
2019-02-22 10:18:30,501  INFO AWT-EventQueue-0:3419 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 10, 6
2019-02-22 10:18:30,501  INFO AWT-EventQueue-0:3419 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=10,y=6]
2019-02-22 10:18:30,510  INFO AWT-EventQueue-0:3428 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 413, 337
2019-02-22 10:18:30,510  INFO AWT-EventQueue-0:3428 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 9, 5
2019-02-22 10:18:30,511  INFO AWT-EventQueue-0:3429 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=9,y=5]
2019-02-22 10:18:30,526  INFO AWT-EventQueue-0:3444 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 389, 307
2019-02-22 10:18:30,526  INFO AWT-EventQueue-0:3444 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 8, 4
2019-02-22 10:18:30,526  INFO AWT-EventQueue-0:3444 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=8,y=4]
2019-02-22 10:18:30,527  INFO AWT-EventQueue-0:3445 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 368, 281
2019-02-22 10:18:30,528  INFO AWT-EventQueue-0:3446 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 8, 4
2019-02-22 10:18:30,528  INFO AWT-EventQueue-0:3446 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=8,y=4]
2019-02-22 10:18:30,535  INFO AWT-EventQueue-0:3453 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 348, 255
2019-02-22 10:18:30,537  INFO AWT-EventQueue-0:3455 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 7, 3
2019-02-22 10:18:30,538  INFO AWT-EventQueue-0:3456 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=7,y=3]
2019-02-22 10:18:30,544  INFO AWT-EventQueue-0:3462 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 341, 244
